sampleid	subject	trimester
GSM1370862	02	1
GSM1370866	12	1
GSM1370870	15	1
GSM1370874	16	1
GSM1370878	24	1
GSM1370882	32	1
GSM1370886	36	1
GSM1370890	53	1
GSM1370894	54	1
GSM1370898	58	1
GSM1370902	60	1
GSM1370863	02	2
GSM1370867	12	2
GSM1370871	15	2
GSM1370875	16	2
GSM1370879	24	2
GSM1370883	32	2
GSM1370887	36	2
GSM1370891	53	2
GSM1370895	54	2
GSM1370899	58	2
GSM1370903	60	2
GSM1370864	02	3
GSM1370868	12	3
GSM1370872	15	3
GSM1370876	16	3
GSM1370880	24	3
GSM1370884	32	3
GSM1370888	36	3
GSM1370892	53	3
GSM1370896	54	3
GSM1370900	58	3
GSM1370904	60	3
GSM1370865	02	PostPartum
GSM1370869	12	PostPartum
GSM1370873	15	PostPartum
GSM1370877	16	PostPartum
GSM1370881	24	PostPartum
GSM1370885	32	PostPartum
GSM1370889	36	PostPartum
GSM1370893	53	PostPartum
GSM1370897	54	PostPartum
GSM1370901	58	PostPartum
GSM1370905	60	PostPartum
GSM1370906	NP1	Non-Pregnant
GSM1370907	NP2	Non-Pregnant
GSM1370908	NP3	Non-Pregnant
GSM1370909	NP4	Non-Pregnant
